,TIME,BIKE_STANDS,AVAILABLE_BIKE_STANDS,AVAILABLE_BIKES
71,2022-04-09,3526.0,2109.0833333333335,1404.875
72,2022-04-10,3526.0,2101.2291666666665,1408.7916666666667
73,2022-04-11,3526.0,2122.1666666666665,1386.7291666666667
74,2022-04-12,3526.0,2104.4583333333335,1406.5833333333333
75,2022-04-13,3526.0,2113.375,1388.3541666666667
76,2022-04-14,3526.0,2123.6875,1382.1041666666667
77,2022-04-15,3526.0,2110.7083333333335,1401.6458333333333
78,2022-04-16,3526.0,2121.7708333333335,1389.6041666666667
79,2022-04-17,3526.0,2084.2291666666665,1426.3958333333333
80,2022-04-18,3526.0,2085.8958333333335,1425.4375
81,2022-04-19,3526.0,2117.5833333333335,1390.5625
82,2022-04-20,3525.4583333333335,2119.5416666666665,1385.2708333333333
83,2022-04-21,3525.0,2139.3125,1371.5625
84,2022-04-22,3525.0,2136.375,1381.7916666666667
85,2022-04-23,3525.0,2117.3333333333335,1405.3333333333333
86,2022-04-24,3525.0,2117.2708333333335,1405.25
87,2022-04-25,3525.0,2133.5416666666665,1386.0625
88,2022-04-26,3525.0,2153.7083333333335,1365.3333333333333
89,2022-04-27,3559.4102564102564,2145.769230769231,1376.820512820513
90,2022-04-28,3586.0,2169.0,1332.5208333333333
91,2022-04-29,3586.0,2153.1458333333335,1357.2083333333333
92,2022-04-30,3586.0,2061.0416666666665,1461.5833333333333
93,2022-05-01,3586.0,2059.625,1462.3541666666667
94,2022-05-02,3586.0,2075.3333333333335,1443.9583333333333
95,2022-05-03,3586.0,2111.6458333333335,1403.2916666666667
96,2022-05-04,3586.0,2136.125,1376.6666666666667
97,2022-05-05,3586.0,2159.1041666666665,1353.6875
98,2022-05-06,3586.0,2160.2708333333335,1372.5416666666667
99,2022-05-07,3586.0,2181.3333333333335,1370.7083333333333
100,2022-05-08,3586.0,2187.5208333333335,1364.375
101,2022-05-09,3586.0,2176.1458333333335,1368.75
102,2022-05-10,3586.0,2208.8541666666665,1349.9791666666667
103,2022-05-11,3586.0,2224.5,1353.3125
104,2022-05-12,3586.0,2212.375,1365.1666666666667
105,2022-05-13,3586.0,2217.1041666666665,1362.5
106,2022-05-14,3586.0,2227.1458333333335,1356.4166666666667
107,2022-05-15,3586.0,2203.7916666666665,1378.7291666666667
108,2022-05-16,3586.0,2229.8958333333335,1346.6666666666667
109,2022-05-17,3586.0,2208.8958333333335,1365.7291666666667
110,2022-05-18,3586.0,2224.7916666666665,1346.8125
111,2022-05-19,3586.0,2232.9166666666665,1341.0833333333333
112,2022-05-20,3586.0,2210.9375,1368.375
113,2022-05-21,3586.0,2199.875,1382.375
114,2022-05-22,3586.0,2187.6666666666665,1394.5625
115,2022-05-23,3586.0,2206.6458333333335,1368.1041666666667
116,2022-05-24,3586.0,2222.3125,1356.0416666666667
117,2022-05-25,3586.0,2216.25,1363.6666666666667
118,2022-05-26,3586.0,2223.5416666666665,1356.4791666666667
119,2022-05-27,3586.0,2221.9148936170213,1357.3191489361702
120,2022-05-28,3586.0,2207.3333333333335,1372.5208333333333
121,2022-05-29,3586.0,2189.8541666666665,1388.5625
122,2022-05-30,3586.0,2207.375,1366.7916666666667
123,2022-05-31,3586.0,2216.0416666666665,1364.3541666666667
124,2022-06-01,3586.0,2212.0833333333335,1367.7291666666667
125,2022-06-02,3586.0,2193.6458333333335,1385.5208333333333
126,2022-06-03,3586.0,2192.125,1388.4791666666667
127,2022-06-04,3586.0,2059.0833333333335,1391.875
