,TIME,BIKE_STANDS,AVAILABLE_BIKE_STANDS,AVAILABLE_BIKES
0,2018-08-01,3515.0,2235.1521739130435,1224.0289855072465
1,2018-08-02,3515.0,2235.4548611111113,1220.4270833333333
2,2018-08-03,3515.0,2210.9583333333335,1247.0243055555557
3,2018-08-04,3515.0,2170.909722222222,1292.138888888889
4,2018-08-05,3515.0,2170.7673611111113,1291.4479166666667
5,2018-08-06,3515.0,2161.159722222222,1299.1145833333333
6,2018-08-07,3515.0,2239.4791666666665,1218.017361111111
7,2018-08-08,3515.0,2238.2326388888887,1217.767361111111
8,2018-08-09,3515.0,2231.09375,1225.4166666666667
9,2018-08-10,3515.0,2227.565972222222,1232.236111111111
10,2018-08-11,3515.0,2167.1736111111113,1295.0520833333333
11,2018-08-12,3515.0,2154.7638888888887,1308.857638888889
12,2018-08-13,3515.0,2239.840277777778,1218.579861111111
13,2018-08-14,3515.0,2239.7083333333335,1220.3159722222222
14,2018-08-15,3515.0,2213.347222222222,1246.611111111111
15,2018-08-16,3515.0,2220.5798611111113,1239.0520833333333
16,2018-08-17,3515.0,2181.690972222222,1278.7465277777778
17,2018-08-18,3515.0,2158.1979166666665,1303.1944444444443
18,2018-08-19,3515.0,2140.9895833333335,1320.9270833333333
19,2018-08-20,3530.972222222222,2221.784722222222,1247.78125
20,2018-08-21,3602.097902097902,2311.874125874126,1231.506993006993
21,2018-08-22,3595.0,2311.9257950530036,1227.5795053003533
22,2018-08-23,3607.526132404181,2297.8397212543555,1254.773519163763
23,2018-08-24,3595.0,2267.6041666666665,1257.7569444444443
24,2018-08-25,3595.0,2221.628472222222,1304.9375
25,2018-08-26,3595.0,2225.5138888888887,1317.201388888889
26,2018-08-27,3595.0,2291.7118055555557,1246.3854166666667
27,2018-08-28,3595.0,2290.340277777778,1249.0729166666667
28,2018-08-29,3595.0,2292.9236111111113,1245.5902777777778
29,2018-08-30,3595.0,2305.9166666666665,1233.3055555555557
30,2018-08-31,3595.0,2304.191335740072,1238.8664259927798
31,2018-09-01,3595.0,2239.218309859155,1301.5950704225352
32,2018-09-02,3595.0,2238.810035842294,1305.1254480286739
33,2018-09-03,3595.0,2297.775,1238.2892857142858
34,2018-09-04,3595.0,2323.3992932862193,1214.3180212014133
35,2018-09-05,3606.913357400722,2320.5884476534297,1230.5487364620938
36,2018-09-06,3625.0,2295.2953736654804,1274.5338078291816
37,2018-09-07,3625.0,2295.034722222222,1275.5520833333333
38,2018-09-08,3625.0,2228.15625,1345.9131944444443
39,2018-09-09,3625.0,2239.2013888888887,1332.75
40,2018-09-10,3625.0,2307.8680555555557,1262.642361111111
41,2018-09-11,3625.0,2322.2430555555557,1249.2083333333333
42,2018-09-12,3625.0,2319.8055555555557,1248.7395833333333
43,2018-09-13,3625.0,2315.1875,1255.4965277777778
44,2018-09-14,3625.0,2279.09375,1292.375
45,2018-09-15,3625.0,2234.9548611111113,1335.6284722222222
46,2018-09-16,3625.0,2237.777777777778,1335.263888888889
47,2018-09-17,3625.0,2307.0104166666665,1261.7222222222222
48,2018-09-18,3625.0,2316.568345323741,1254.1510791366907
49,2018-09-19,3625.0,2276.879003558719,1291.964412811388
50,2018-09-20,3625.0,2241.1111111111113,1316.53125
51,2018-09-21,3625.0,2259.8298611111113,1285.9652777777778
52,2018-09-22,3625.0,2235.0381944444443,1348.2569444444443
53,2018-09-23,3625.0,2279.6006944444443,1330.670138888889
54,2018-09-24,3625.0,2350.989436619718,1258.6514084507041
55,2018-09-25,3625.0,2353.1666666666665,1257.4652777777778
56,2018-09-26,3625.0,2356.3263888888887,1253.357638888889
57,2018-09-27,3625.0,2339.496527777778,1271.6319444444443
58,2018-09-28,3625.0,2335.0555555555557,1275.8055555555557
59,2018-09-29,3625.0,2276.7569444444443,1337.6840277777778
60,2018-09-30,3625.0,2255.3854166666665,1359.0902777777778
61,2018-10-01,3625.0,2335.5520833333335,1275.8055555555557
62,2018-10-02,3625.0,2339.2638888888887,1267.375
63,2018-10-03,3625.0,2361.5486111111113,1247.3368055555557
64,2018-10-04,3636.968309859155,2364.193661971831,1257.6866197183099
65,2018-10-05,3654.0,2366.4947735191636,1273.8327526132405
66,2018-10-06,3654.0,2302.871527777778,1339.3402777777778
67,2018-10-07,3654.0,2287.90625,1354.7291666666667
68,2018-10-08,3654.0,2366.909090909091,1269.6363636363637
69,2018-10-09,3654.0,2384.059027777778,1254.375
70,2018-10-10,3654.0,2390.9375,1245.736111111111
71,2018-10-11,3654.0,2387.9131944444443,1250.892361111111
72,2018-10-12,3654.0,2365.527777777778,1271.7256944444443
73,2018-10-13,3654.0,2283.996527777778,1348.611111111111
74,2018-10-14,3654.0,2325.527777777778,1307.451388888889
75,2018-10-15,3654.0,2389.2881944444443,1241.6354166666667
76,2018-10-16,3654.0,2406.7881944444443,1222.5
77,2018-10-17,3654.0,2422.871527777778,1209.0868055555557
78,2018-10-18,3654.0,2423.2118055555557,1205.7430555555557
79,2018-10-19,3654.0,2405.1388888888887,1225.3194444444443
80,2018-10-20,3654.0,2375.8958333333335,1262.7256944444443
81,2018-10-21,3654.0,2349.5104166666665,1288.75
82,2018-10-22,3654.0,2412.5243055555557,1224.4097222222222
83,2018-10-23,3654.0,2408.753472222222,1221.625
84,2018-10-24,3654.0,2413.1145833333335,1222.8090277777778
85,2018-10-25,3654.0,2407.347222222222,1227.642361111111
86,2018-10-26,3654.0,2361.1805555555557,1244.423611111111
87,2018-10-27,3654.0,2112.3645833333335,1311.0
88,2018-10-28,3654.0,2092.2638888888887,1278.9444444444443
